,u_index,tag_id,weight
0,0.0,3.0,4.0
1,0.0,21.0,5.0
2,0.0,10.0,1.0
3,1.0,3.0,5.0
4,1.0,10.0,2.0
5,1.0,21.0,4.0
6,1.0,25.0,2.0
7,1.0,16.0,2.0
8,1.0,2.0,1.0
9,1.0,5.0,1.0
10,2.0,3.0,6.0
11,2.0,10.0,4.0
12,2.0,21.0,4.0
13,2.0,5.0,5.0
14,2.0,11.0,6.0
15,2.0,2.0,2.0
16,2.0,0.0,1.0
17,2.0,9.0,1.0
18,3.0,23.0,3.0
19,3.0,10.0,3.0
20,3.0,25.0,1.0
21,3.0,8.0,1.0
22,3.0,21.0,2.0
23,3.0,3.0,1.0
24,3.0,24.0,1.0
25,4.0,4.0,3.0
26,4.0,11.0,3.0
27,4.0,2.0,6.0
28,4.0,14.0,1.0
29,4.0,16.0,1.0
30,4.0,25.0,2.0
31,4.0,5.0,3.0
32,4.0,3.0,5.0
33,4.0,12.0,2.0
34,4.0,10.0,3.0
35,4.0,0.0,1.0
36,5.0,10.0,2.0
37,5.0,11.0,6.0
38,5.0,19.0,3.0
39,5.0,4.0,3.0
40,5.0,25.0,3.0
41,5.0,21.0,1.0
42,6.0,3.0,5.0
43,6.0,4.0,11.0
44,6.0,22.0,3.0
45,6.0,2.0,6.0
46,6.0,14.0,2.0
47,6.0,16.0,1.0
48,6.0,25.0,5.0
49,7.0,5.0,3.0
50,7.0,4.0,1.0
51,7.0,22.0,2.0
52,7.0,3.0,8.0
53,7.0,14.0,1.0
54,7.0,0.0,1.0
55,7.0,11.0,3.0
56,7.0,2.0,1.0
57,7.0,21.0,4.0
58,7.0,10.0,2.0
59,8.0,10.0,2.0
60,8.0,4.0,2.0
61,9.0,3.0,3.0
62,9.0,0.0,3.0
63,9.0,17.0,2.0
64,9.0,10.0,1.0
65,10.0,3.0,5.0
66,10.0,10.0,3.0
67,10.0,22.0,3.0
68,10.0,4.0,5.0
69,10.0,14.0,2.0
70,10.0,21.0,1.0
71,10.0,11.0,1.0
72,10.0,8.0,1.0
73,11.0,3.0,11.0
74,11.0,10.0,2.0
75,11.0,0.0,3.0
76,11.0,25.0,2.0
77,11.0,14.0,3.0
78,11.0,16.0,3.0
79,11.0,9.0,2.0
80,11.0,30.0,1.0
81,11.0,4.0,1.0
82,11.0,2.0,1.0
83,12.0,3.0,4.0
84,12.0,10.0,2.0
85,12.0,21.0,2.0
86,12.0,14.0,1.0
87,12.0,22.0,2.0
88,12.0,26.0,3.0
89,12.0,8.0,1.0
90,12.0,16.0,1.0
91,13.0,13.0,1.0
92,13.0,3.0,6.0
93,13.0,0.0,2.0
94,13.0,20.0,1.0
95,13.0,16.0,4.0
96,13.0,22.0,3.0
97,13.0,14.0,3.0
98,13.0,2.0,2.0
99,13.0,25.0,2.0
100,13.0,4.0,2.0
101,14.0,10.0,5.0
102,14.0,4.0,6.0
103,14.0,22.0,7.0
104,14.0,3.0,5.0
105,14.0,25.0,3.0
106,14.0,14.0,3.0
107,14.0,16.0,1.0
108,14.0,20.0,1.0
109,15.0,3.0,6.0
110,15.0,21.0,3.0
111,15.0,5.0,1.0
112,15.0,26.0,1.0
113,15.0,10.0,2.0
